,airport_code,location,name
101,AVP,"Scranton/Wilkes-Barre, PA", Wilkes Barre Scranton International
102,BDL,"Hartford, CT", Bradley International
103,BOI,"Boise, ID", Boise Air Terminal
104,BUR,"Burbank, CA", Bob Hope
105,BZN,"Bozeman, MT", Bozeman Yellowstone International
106,COS,"Colorado Springs, CO", City of Colorado Springs Municipal
107,DEN,"Denver, CO", Denver International
108,DFW,"Dallas/Fort Worth, TX", Dallas/Fort Worth International
109,EGE,"Eagle, CO", Eagle County Regional
110,ELP,"El Paso, TX", El Paso International
111,EUG,"Eugene, OR", Mahlon Sweet Field
112,FAT,"Fresno, CA", Fresno Yosemite International
113,FCA,"Kalispell, MT", Glacier Park International
114,FLL,"Fort Lauderdale, FL", Fort Lauderdale-Hollywood International
115,GEG,"Spokane, WA", Spokane International
116,HNL,"Honolulu, HI", Daniel K Inouye International
117,IAD,"Washington, DC", Washington Dulles International
118,IAH,"Houston, TX", George Bush Intercontinental/Houston
119,ICT,"Wichita, KS", Wichita Dwight D Eisenhower National
120,JAX,"Jacksonville, FL", Jacksonville International
121,KOA,"Kona, HI", Ellison Onizuka Kona International at Keahole
122,LAS,"Las Vegas, NV", McCarran International
123,LAX,"Los Angeles, CA", Los Angeles International
124,LBB,"Lubbock, TX", Lubbock Preston Smith International
125,LIH,"Lihue, HI", Lihue Airport
126,LIT,"Little Rock, AR", Bill and Hillary Clinton Nat Adams Field
127,MCO,"Orlando, FL", Orlando International
128,MDT,"Harrisburg, PA", Harrisburg International
129,MFE,"Mission/McAllen/Edinburg, TX", McAllen Miller International
130,MIA,"Miami, FL", Miami International
131,MSO,"Missoula, MT", Missoula International
132,MSY,"New Orleans, LA", Louis Armstrong New Orleans International
133,OGG,"Kahului, HI", Kahului Airport
134,OKC,"Oklahoma City, OK", Will Rogers World
135,ONT,"Ontario, CA", Ontario International
136,PBI,"West Palm Beach/Palm Beach, FL", Palm Beach International
137,PDX,"Portland, OR", Portland International
138,PHL,"Philadelphia, PA", Philadelphia International
139,PHX,"Phoenix, AZ", Phoenix Sky Harbor International
140,PNS,"Pensacola, FL", Pensacola International
141,PSP,"Palm Springs, CA", Palm Springs International
142,PWM,"Portland, ME", Portland International Jetport
143,RNO,"Reno, NV", Reno/Tahoe International
144,RSW,"Fort Myers, FL", Southwest Florida International
145,SAN,"San Diego, CA", San Diego International
